Shiller S&P 500 PE Ratio,
DateTime,Shiller PE Ratio
2/1/2022,37.56
1/1/2022,39.63
12/1/2021,38.66
11/1/2021,38.75
10/1/2021,37.25
9/1/2021,37.62
8/1/2021,37.97
7/1/2021,37.44
6/1/2021,36.7
5/1/2021,36.55
4/1/2021,36.72
3/1/2021,35.04
2/1/2021,35.1
1/1/2021,34.51
12/1/2020,33.77
11/1/2020,32.47
10/1/2020,31.28
9/1/2020,30.84
8/1/2020,31.16
7/1/2020,29.6
6/1/2020,28.84
5/1/2020,27.33
4/1/2020,25.93
3/1/2020,24.82
2/1/2020,30.73
1/1/2020,30.99
12/1/2019,30.33
11/1/2019,29.84
10/1/2019,28.84
9/1/2019,29.23
8/1/2019,28.71
7/1/2019,29.99
6/1/2019,29.28
5/1/2019,29.24
4/1/2019,30.13
3/1/2019,29.58
2/1/2019,29.54
1/1/2019,28.38
12/1/2018,28.29
11/1/2018,30.2
10/1/2018,31.04
9/1/2018,32.62
8/1/2018,32.39
7/1/2018,31.89
6/1/2018,31.63
5/1/2018,31.24
4/1/2018,30.97
3/1/2018,31.81
2/1/2018,32.04
1/1/2018,33.31
12/1/2017,32.09
11/1/2017,31.3
10/1/2017,30.92
9/1/2017,30.17
8/1/2017,29.91
7/1/2017,30
6/1/2017,29.75
5/1/2017,29.31
4/1/2017,28.9
3/1/2017,29.09
2/1/2017,28.66
1/1/2017,28.06
12/1/2016,27.87
11/1/2016,26.85
10/1/2016,26.53
9/1/2016,26.73
8/1/2016,26.95
7/1/2016,26.69
6/1/2016,25.84
5/1/2016,25.69
4/1/2016,25.92
3/1/2016,25.37
2/1/2016,24
1/1/2016,24.21
12/1/2015,25.97
11/1/2015,26.23
10/1/2015,25.49
9/1/2015,24.5
8/1/2015,25.69
7/1/2015,26.38
6/1/2015,26.5
5/1/2015,26.81
4/1/2015,26.79
3/1/2015,26.73
2/1/2015,27
1/1/2015,26.49
12/1/2014,26.79
11/1/2014,26.61
10/1/2014,25.16
9/1/2014,25.92
8/1/2014,25.62
7/1/2014,25.82
6/1/2014,25.56
5/1/2014,24.94
4/1/2014,24.79
3/1/2014,24.96
2/1/2014,24.59
1/1/2014,24.86
12/1/2013,24.86
11/1/2013,24.64
10/1/2013,23.83
9/1/2013,23.44
8/1/2013,23.36
7/1/2013,23.49
6/1/2013,22.93
5/1/2013,23.41
4/1/2013,22.6
3/1/2013,22.42
2/1/2013,22.05
1/1/2013,21.9
12/1/2012,21.24
11/1/2012,20.9
10/1/2012,21.58
9/1/2012,21.78
8/1/2012,21.41
7/1/2012,21
6/1/2012,20.55
5/1/2012,20.94
4/1/2012,21.78
3/1/2012,22.05
2/1/2012,21.8
1/1/2012,21.21
12/1/2011,20.52
11/1/2011,20.35
10/1/2011,20.16
9/1/2011,19.7
8/1/2011,20.05
7/1/2011,22.61
6/1/2011,22.1
5/1/2011,23.06
4/1/2011,23.14
3/1/2011,22.9
2/1/2011,23.49
1/1/2011,22.98
12/1/2010,22.4
11/1/2010,21.7
10/1/2010,21.24
9/1/2010,20.38
8/1/2010,19.77
7/1/2010,19.67
6/1/2010,19.74
5/1/2010,20.48
4/1/2010,21.8
3/1/2010,21
2/1/2010,19.92
1/1/2010,20.53
12/1/2009,20.32
11/1/2009,19.81
10/1/2009,19.36
9/1/2009,18.83
8/1/2009,18.09
7/1/2009,16.69
6/1/2009,16.38
5/1/2009,16
4/1/2009,14.98
3/1/2009,13.32
2/1/2009,14.12
1/1/2009,15.17
12/1/2008,15.38
11/1/2008,15.26
10/1/2008,16.39
9/1/2008,20.36
8/1/2008,21.4
7/1/2008,20.91
6/1/2008,22.42
5/1/2008,23.7
4/1/2008,23.36
3/1/2008,22.61
2/1/2008,23.5
1/1/2008,24.02
12/1/2007,25.96
11/1/2007,25.73
10/1/2007,27.32
9/1/2007,26.73
8/1/2007,26.15
7/1/2007,27.41
6/1/2007,27.42
5/1/2007,27.55
4/1/2007,26.98
3/1/2007,26.23
2/1/2007,27.32
1/1/2007,27.21
12/1/2006,27.28
11/1/2006,26.93
10/1/2006,26.54
9/1/2006,25.64
8/1/2006,25.05
7/1/2006,24.7
6/1/2006,24.75
5/1/2006,25.65
4/1/2006,26.15
3/1/2006,26.33
2/1/2006,26.25
1/1/2006,26.47
12/1/2005,26.44
11/1/2005,25.93
10/1/2005,24.88
9/1/2005,25.73
8/1/2005,26.1
7/1/2005,26.29
6/1/2005,26.07
5/1/2005,25.65
4/1/2005,25.41
3/1/2005,26.34
2/1/2005,26.74
1/1/2005,26.59
12/1/2004,27.14
11/1/2004,26.47
10/1/2004,25.41
9/1/2004,25.67
8/1/2004,25.17
7/1/2004,25.7
6/1/2004,26.4
5/1/2004,25.9
4/1/2004,26.9
3/1/2004,26.89
2/1/2004,27.65
1/1/2004,27.66
12/1/2003,26.64
11/1/2003,25.95
10/1/2003,25.68
9/1/2003,25.24
8/1/2003,24.64
7/1/2003,24.87
6/1/2003,24.83
5/1/2003,23.59
4/1/2003,22.43
3/1/2003,21.31
2/1/2003,21.21
1/1/2003,22.9
12/1/2002,23.1
11/1/2002,23.35
10/1/2002,21.96
9/1/2002,22.36
8/1/2002,23.59
7/1/2002,23.46
6/1/2002,26.39
5/1/2002,28.13
4/1/2002,29.01
3/1/2002,30.29
2/1/2002,29.09
1/1/2002,30.28
12/1/2001,30.5
11/1/2001,30.01
10/1/2001,28.58
9/1/2001,27.67
8/1/2001,31.4
7/1/2001,32.16
6/1/2001,33.07
5/1/2001,34.07
4/1/2001,32.17
3/1/2001,32.32
2/1/2001,35.83
1/1/2001,36.98
12/1/2000,37.27
11/1/2000,38.78
10/1/2000,39.37
9/1/2000,41.89
8/1/2000,42.87
7/1/2000,42.75
6/1/2000,42.78
5/1/2000,41.96
4/1/2000,43.53
3/1/2000,43.22
2/1/2000,42.18
1/1/2000,43.77
12/1/1999,44.19
11/1/1999,43.21
10/1/1999,40.55
9/1/1999,41.32
8/1/1999,41.93
7/1/1999,43.83
6/1/1999,42.18
5/1/1999,42.55
4/1/1999,42.7
3/1/1999,41.35
2/1/1999,40.4
1/1/1999,40.57
12/1/1998,38.82
11/1/1998,37.37
10/1/1998,33.77
9/1/1998,33.53
8/1/1998,35.42
7/1/1998,38.26
6/1/1998,36.8
5/1/1998,36.95
4/1/1998,37.27
3/1/1998,36.29
2/1/1998,34.71
1/1/1998,32.86
12/1/1997,33.03
11/1/1997,32.33
10/1/1997,32.9
9/1/1997,32.66
8/1/1997,32.58
7/1/1997,32.76
6/1/1997,31.25
5/1/1997,29.93
4/1/1997,27.58
3/1/1997,28.8
2/1/1997,29.26
1/1/1997,28.33
12/1/1996,27.72
11/1/1996,27.58
10/1/1996,26.48
9/1/1996,25.68
8/1/1996,25.41
7/1/1996,24.86
6/1/1996,25.96
5/1/1996,25.81
4/1/1996,25.42
3/1/1996,25.63
2/1/1996,25.97
1/1/1996,24.76
12/1/1995,25.03
11/1/1995,24.35
10/1/1995,23.93
9/1/1995,23.94
8/1/1995,23.28
7/1/1995,23.37
6/1/1995,22.72
5/1/1995,22.19
4/1/1995,21.64
3/1/1995,21.15
2/1/1995,20.8
1/1/1995,20.22
12/1/1994,19.91
11/1/1994,20.21
10/1/1994,20.39
9/1/1994,20.57
8/1/1994,20.53
7/1/1994,20.07
6/1/1994,20.29
5/1/1994,20.19
4/1/1994,20.05
3/1/1994,20.83
2/1/1994,21.26
1/1/1994,21.41
12/1/1993,21.16
11/1/1993,21.04
10/1/1993,21.11
9/1/1993,20.99
8/1/1993,20.81
7/1/1993,20.56
6/1/1993,20.61
5/1/1993,20.52
4/1/1993,20.46
3/1/1993,20.85
2/1/1993,20.54
1/1/1993,20.32
12/1/1992,20.45
11/1/1992,19.83
10/1/1992,19.37
9/1/1992,19.71
8/1/1992,19.72
7/1/1992,19.62
6/1/1992,19.31
5/1/1992,19.66
4/1/1992,19.3
3/1/1992,19.28
2/1/1992,19.58
1/1/1992,19.77
12/1/1991,18.44
11/1/1991,18.29
10/1/1991,18.35
9/1/1991,18.36
8/1/1991,18.51
7/1/1991,18.1
6/1/1991,18.01
5/1/1991,18.03
4/1/1991,18.16
3/1/1991,17.82
2/1/1991,17.36
1/1/1991,15.61
12/1/1990,15.85
11/1/1990,15.19
10/1/1990,14.82
9/1/1990,15.3
8/1/1990,16.17
7/1/1990,17.75
6/1/1990,17.82
5/1/1990,17.39
4/1/1990,16.81
3/1/1990,16.83
2/1/1990,16.51
1/1/1990,17.05
12/1/1989,17.65
11/1/1989,17.24
10/1/1989,17.64
9/1/1989,17.71
8/1/1989,17.73
7/1/1989,17.01
6/1/1989,16.64
5/1/1989,16.19
4/1/1989,15.69
3/1/1989,15.3
2/1/1989,15.47
1/1/1989,15.09
12/1/1988,14.7
11/1/1988,14.45
10/1/1988,14.81
9/1/1988,14.37
8/1/1988,14.24
7/1/1988,14.61
6/1/1988,14.77
5/1/1988,14.03
4/1/1988,14.43
3/1/1988,14.67
2/1/1988,14.3
1/1/1988,13.9
12/1/1987,13.39
11/1/1987,13.59
10/1/1987,15.53
9/1/1987,17.68
8/1/1987,18.33
7/1/1987,17.31
6/1/1987,16.83
5/1/1987,16.16
4/1/1987,16.2
3/1/1987,16.43
2/1/1987,15.82
1/1/1987,14.92
12/1/1986,14.09
11/1/1986,13.87
10/1/1986,13.43
9/1/1986,13.47
8/1/1986,13.89
7/1/1986,13.62
6/1/1986,13.89
5/1/1986,13.56
4/1/1986,13.55
3/1/1986,13.19
2/1/1986,12.39
1/1/1986,11.72
12/1/1985,11.69
11/1/1985,11.16
10/1/1985,10.55
9/1/1985,10.47
8/1/1985,10.74
7/1/1985,11
6/1/1985,10.81
5/1/1985,10.61
4/1/1985,10.4
3/1/1985,10.37
2/1/1985,10.49
1/1/1985,10
12/1/1984,9.6
11/1/1984,9.69
10/1/1984,9.6
9/1/1984,9.69
8/1/1984,9.62
7/1/1984,8.87
6/1/1984,9.01
5/1/1984,9.23
4/1/1984,9.31
3/1/1984,9.33
2/1/1984,9.32
1/1/1984,9.89
12/1/1983,9.82
11/1/1983,9.85
10/1/1983,10
9/1/1983,9.98
8/1/1983,9.73
7/1/1983,10.01
6/1/1983,10
5/1/1983,9.87
4/1/1983,9.53
3/1/1983,9.23
2/1/1983,8.91
1/1/1983,8.76
12/1/1982,8.47
11/1/1982,8.35
10/1/1982,8
9/1/1982,7.4
8/1/1982,6.64
7/1/1982,6.64
6/1/1982,6.69
5/1/1982,7.19
4/1/1982,7.26
3/1/1982,6.95
2/1/1982,7.18
1/1/1982,7.39
12/1/1981,7.83
11/1/1981,7.81
10/1/1981,7.65
9/1/1981,7.58
8/1/1981,8.4
7/1/1981,8.45
6/1/1981,8.77
5/1/1981,8.82
4/1/1981,9.09
3/1/1981,9.08
2/1/1981,8.83
1/1/1981,9.26
12/1/1980,9.39
11/1/1980,9.65
10/1/1980,9.36
9/1/1980,9.2
8/1/1980,9.07
7/1/1980,8.88
6/1/1980,8.51
5/1/1980,8.1
4/1/1980,7.84
3/1/1980,8.08
2/1/1980,9.05
1/1/1980,8.85
12/1/1979,8.75
11/1/1979,8.52
10/1/1979,8.68
9/1/1979,9.11
8/1/1979,9.13
7/1/1979,8.83
6/1/1979,8.85
5/1/1979,8.79
4/1/1979,9.13
3/1/1979,9.07
2/1/1979,9
1/1/1979,9.26
12/1/1978,9.01
11/1/1978,8.93
10/1/1978,9.53
9/1/1978,9.94
8/1/1978,10.02
7/1/1978,9.43
6/1/1978,9.55
5/1/1978,9.63
4/1/1978,9.26
3/1/1978,8.95
2/1/1978,9.05
1/1/1978,9.24
12/1/1977,9.68
11/1/1977,9.77
10/1/1977,9.77
9/1/1977,10.07
8/1/1977,10.27
7/1/1977,10.57
6/1/1977,10.53
5/1/1977,10.55
4/1/1977,10.64
3/1/1977,10.9
2/1/1977,11.01
1/1/1977,11.44
12/1/1976,11.6
11/1/1976,11.25
10/1/1976,11.35
9/1/1976,11.81
8/1/1976,11.6
7/1/1976,11.76
6/1/1976,11.54
5/1/1976,11.53
4/1/1976,11.69
3/1/1976,11.63
2/1/1976,11.59
1/1/1976,11.19
12/1/1975,10.25
11/1/1975,10.44
10/1/1975,10.33
9/1/1975,9.92
8/1/1975,10.09
7/1/1975,10.9
6/1/1975,11.01
5/1/1975,10.82
4/1/1975,10.23
3/1/1975,10.16
2/1/1975,9.76
1/1/1975,8.92
12/1/1974,8.29
11/1/1974,8.95
10/1/1974,8.74
9/1/1974,8.68
8/1/1974,9.82
7/1/1974,10.39
6/1/1974,11.89
5/1/1974,12
4/1/1974,12.55
3/1/1974,13.31
2/1/1974,12.96
1/1/1974,13.53
12/1/1973,13.49
11/1/1973,14.65
10/1/1973,15.91
9/1/1973,15.48
8/1/1973,15.28
7/1/1973,15.89
6/1/1973,15.81
5/1/1973,16.31
4/1/1973,16.94
3/1/1973,17.41
2/1/1973,17.89
1/1/1973,18.71
12/1/1972,18.65
11/1/1972,18.34
10/1/1972,17.53
9/1/1972,17.61
8/1/1972,17.94
7/1/1972,17.4
6/1/1972,17.64
5/1/1972,17.66
4/1/1972,17.92
3/1/1972,17.81
2/1/1972,17.46
1/1/1972,17.26
12/1/1971,16.6
11/1/1971,15.64
10/1/1971,16.43
9/1/1971,16.86
8/1/1971,16.52
7/1/1971,16.89
6/1/1971,17.08
5/1/1971,17.56
4/1/1971,17.92
3/1/1971,17.4
2/1/1971,17.03
1/1/1971,16.46
12/1/1970,15.87
11/1/1970,14.95
10/1/1970,15.06
9/1/1970,14.84
8/1/1970,14.1
7/1/1970,13.73
6/1/1970,13.8
5/1/1970,13.98
4/1/1970,15.87
3/1/1970,16.53
2/1/1970,16.37
1/1/1970,17.09
12/1/1969,17.33
11/1/1969,18.44
10/1/1969,18.45
9/1/1969,18.4
8/1/1969,18.43
7/1/1969,18.68
6/1/1969,19.71
5/1/1969,20.97
4/1/1969,20.43
3/1/1969,20.2
2/1/1969,20.9
1/1/1969,21.19
12/1/1968,22.28
11/1/1968,22.2
10/1/1968,22
9/1/1968,21.68
8/1/1968,21.14
7/1/1968,21.75
6/1/1968,22
5/1/1968,21.63
4/1/1968,21.28
3/1/1968,19.93
2/1/1968,20.42
1/1/1968,21.51
12/1/1967,21.75
11/1/1967,21.26
10/1/1967,22.07
9/1/1967,22.22
8/1/1967,22.03
7/1/1967,21.8
6/1/1967,21.55
5/1/1967,21.95
4/1/1967,21.69
3/1/1967,21.44
2/1/1967,21.07
1/1/1967,20.43
12/1/1966,19.74
11/1/1966,19.71
10/1/1966,18.83
9/1/1966,19.16
8/1/1966,19.91
7/1/1966,21.38
6/1/1966,21.56
5/1/1966,21.85
